CodaNumber,nClicks,Length,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaName,Unit,WhaleID,Date,Year,UnitName
2,5,1.125,0.287,0.265,0.299,0.274,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
3,5,1.09,0.264,0.253,0.297,0.276,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
4,5,1.09,0.269,0.265,0.271,0.285,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
5,5,1.101,0.273,0.267,0.266,0.295,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
6,5,1.088,0.278,0.27,0.269,0.271,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
7,5,1.138,0.269,0.293,0.287,0.289,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
8,5,1.1300000000000001,0.279,0.277,0.28,0.294,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
9,5,1.1320000000000001,0.284,0.278,0.28,0.29,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
10,5,1.1320000000000001,0.297,0.277,0.275,0.283,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2005-03-04,2005,Unit A
12,4,0.20800000000000002,0.063,0.062,0.083,0.0,0.0,0.0,0.0,0.0,0.0,4R1,1,0,2008-03-25,2008,Unit A
13,5,0.33899999999999997,0.09,0.077,0.076,0.096,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
14,5,0.29500000000000004,0.062,0.084,0.063,0.086,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
15,5,0.27,0.062,0.063,0.062,0.083,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
17,6,0.359,0.073,0.072,0.063,0.065,0.086,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
19,6,0.347,0.07,0.058,0.062,0.067,0.09,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
20,6,0.385,0.064,0.066,0.079,0.076,0.1,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
22,6,0.35600000000000004,0.08,0.073,0.062,0.064,0.077,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
24,7,0.392,0.05,0.058,0.063,0.06,0.063,0.098,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
26,7,0.9540000000000001,0.224,0.202,0.138,0.118,0.117,0.155,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
27,7,0.907,0.215,0.189,0.142,0.11,0.118,0.133,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
28,7,0.9249999999999999,0.238,0.177,0.124,0.137,0.106,0.143,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
30,7,0.975,0.251,0.217,0.125,0.127,0.107,0.148,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
31,7,0.972,0.247,0.222,0.123,0.097,0.116,0.167,0.0,0.0,0.0,7D,1,0,2008-03-25,2008,Unit A
32,7,0.343,0.046,0.056,0.056,0.055,0.058,0.072,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
33,7,0.337,0.042,0.057,0.056,0.058,0.056,0.068,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
34,7,0.357,0.066,0.058,0.054,0.059,0.056,0.064,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
35,7,0.364,0.06,0.065,0.056,0.051,0.049,0.083,0.0,0.0,0.0,7I,1,0,2008-03-25,2008,Unit A
36,8,0.868,0.188,0.133,0.117,0.105,0.097,0.1,0.128,0.0,0.0,8D,1,0,2008-03-25,2008,Unit A
37,8,0.367,0.044,0.05,0.051,0.051,0.048,0.055,0.068,0.0,0.0,8I,1,0,2008-03-25,2008,Unit A
38,8,1.061,0.246,0.183,0.131,0.096,0.101,0.122,0.182,0.0,0.0,8D,1,0,2008-03-25,2008,Unit A
39,9,0.962,0.163,0.149,0.115,0.092,0.099,0.105,0.101,0.138,0.0,9D,1,0,2008-03-25,2008,Unit A
40,9,1.079,0.168,0.187,0.118,0.09,0.107,0.113,0.096,0.2,0.0,9D,1,0,2008-03-25,2008,Unit A
41,5,0.326,0.097,0.071,0.076,0.082,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2008-03-25,2008,Unit A
42,6,0.352,0.067,0.067,0.072,0.06,0.086,0.0,0.0,0.0,0.0,6D,1,0,2008-03-25,2008,Unit A
43,4,0.8819999999999999,0.303,0.288,0.291,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
44,4,0.8819999999999999,0.302,0.287,0.293,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
45,4,1.0230000000000001,0.339,0.35,0.334,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
46,4,1.012,0.345,0.326,0.341,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
47,4,1.0539999999999998,0.363,0.344,0.347,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
48,4,1.069,0.365,0.352,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
49,4,1.076,0.366,0.358,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
50,4,1.076,0.364,0.351,0.361,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
51,4,1.077,0.366,0.36,0.351,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
52,4,1.107,0.345,0.377,0.385,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
53,4,0.877,0.287,0.291,0.299,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
54,4,1.053,0.366,0.342,0.345,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
55,4,1.089,0.367,0.355,0.367,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2009-02-05,2009,Unit A
56,5,0.8600000000000001,0.288,0.262,0.17,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
57,5,0.982,0.322,0.319,0.196,0.145,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
58,5,0.782,0.225,0.271,0.142,0.144,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
59,5,0.8490000000000001,0.263,0.276,0.158,0.152,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
60,5,0.8899999999999999,0.288,0.259,0.202,0.141,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
61,5,0.9890000000000001,0.298,0.351,0.201,0.139,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
62,5,0.9790000000000001,0.34,0.309,0.165,0.165,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
63,5,0.8400000000000001,0.27,0.269,0.171,0.13,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
64,5,0.9860000000000001,0.374,0.297,0.156,0.159,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
65,5,0.8460000000000001,0.279,0.263,0.166,0.138,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
66,5,0.972,0.317,0.309,0.181,0.165,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
67,5,1.0,0.317,0.321,0.198,0.164,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
68,5,0.9989999999999999,0.333,0.288,0.18,0.198,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
69,5,0.917,0.28,0.315,0.161,0.161,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
70,5,0.8160000000000001,0.258,0.27,0.148,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
71,5,0.8620000000000001,0.269,0.265,0.181,0.147,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
72,5,0.809,0.251,0.28,0.15,0.128,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2009-02-05,2009,Unit A
73,5,0.8190000000000001,0.191,0.292,0.182,0.154,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
74,5,0.881,0.281,0.27,0.187,0.143,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
75,5,0.8730000000000001,0.264,0.279,0.186,0.144,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
76,5,0.875,0.274,0.265,0.189,0.147,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
77,5,0.8869999999999999,0.268,0.291,0.19,0.138,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
79,5,0.259,0.054,0.066,0.064,0.075,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2010-01-20,2010,Unit A
80,5,0.917,0.307,0.304,0.168,0.138,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
81,5,0.9029999999999999,0.268,0.301,0.176,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
82,5,1.049,0.357,0.317,0.217,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
83,5,1.139,0.375,0.369,0.216,0.179,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
84,5,1.187,0.385,0.403,0.208,0.191,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
85,5,0.8580000000000001,0.232,0.311,0.159,0.156,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
86,5,0.915,0.278,0.305,0.189,0.143,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
87,5,1.211,0.408,0.405,0.219,0.179,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
88,5,1.2349999999999999,0.417,0.412,0.226,0.18,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
89,5,1.078,0.368,0.352,0.203,0.155,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
90,5,1.065,0.337,0.357,0.219,0.152,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
91,9,0.9729999999999999,0.167,0.21,0.122,0.089,0.08,0.082,0.088,0.135,0.0,9I,1,0,2010-01-20,2010,Unit A
97,5,0.539,0.134,0.18,0.115,0.11,0.0,0.0,0.0,0.0,0.0,5R2,1,0,2010-01-20,2010,Unit A
98,5,0.5419999999999999,0.181,0.155,0.11,0.096,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
99,5,0.592,0.189,0.188,0.123,0.092,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
100,5,0.8360000000000001,0.263,0.262,0.17,0.141,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
101,5,0.758,0.252,0.234,0.119,0.153,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
102,5,0.912,0.298,0.297,0.166,0.151,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
103,5,0.8320000000000001,0.264,0.271,0.168,0.129,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
104,5,0.662,0.238,0.127,0.193,0.104,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
105,5,0.787,0.243,0.266,0.151,0.127,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
106,5,0.767,0.262,0.236,0.14,0.129,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
107,5,0.7320000000000001,0.259,0.203,0.138,0.132,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
108,5,0.768,0.223,0.239,0.175,0.131,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
109,5,0.7699999999999999,0.221,0.249,0.174,0.126,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
110,5,0.791,0.259,0.243,0.147,0.142,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
111,5,1.031,0.373,0.374,0.137,0.147,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
115,4,0.968,0.312,0.337,0.319,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-01-20,2010,Unit A
116,4,0.661,0.346,0.17,0.145,0.0,0.0,0.0,0.0,0.0,0.0,1+32,1,0,2010-01-20,2010,Unit A
117,5,0.936,0.314,0.284,0.19,0.148,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
118,5,0.888,0.293,0.262,0.181,0.152,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
119,4,1.012,0.34,0.336,0.336,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-01-20,2010,Unit A
120,4,1.113,0.363,0.378,0.372,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-01-20,2010,Unit A
121,5,0.942,0.349,0.272,0.176,0.145,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
122,5,0.958,0.305,0.326,0.192,0.135,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
123,5,0.877,0.268,0.295,0.17,0.144,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
124,5,1.051,0.34,0.335,0.206,0.17,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
125,5,1.223,0.343,0.465,0.206,0.209,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
126,5,1.007,0.309,0.355,0.176,0.167,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
127,5,1.447,0.447,0.522,0.229,0.249,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-01-20,2010,Unit A
130,4,0.84,0.292,0.291,0.257,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
131,4,0.8300000000000001,0.273,0.278,0.279,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
132,4,0.839,0.276,0.278,0.285,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
133,4,0.851,0.267,0.289,0.295,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
134,4,0.8320000000000001,0.27,0.281,0.281,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
135,4,0.877,0.3,0.291,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
136,4,0.897,0.302,0.303,0.292,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
137,4,0.893,0.29,0.297,0.306,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
138,4,0.9099999999999999,0.308,0.297,0.305,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
139,4,1.0130000000000001,0.34,0.331,0.342,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
140,4,1.037,0.344,0.341,0.352,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
141,4,1.0699999999999998,0.361,0.347,0.362,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
142,4,1.051,0.359,0.347,0.345,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
143,4,1.061,0.356,0.362,0.343,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
144,4,1.025,0.347,0.335,0.343,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
145,4,1.035,0.349,0.339,0.347,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-25,2010,Unit A
146,5,0.858,0.081,0.486,0.159,0.132,0.0,0.0,0.0,0.0,0.0,5R3,1,0,2010-02-25,2010,Unit A
147,5,0.974,0.324,0.287,0.191,0.172,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
148,5,0.9349999999999999,0.307,0.303,0.181,0.144,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
149,5,0.953,0.313,0.318,0.172,0.15,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
150,5,1.067,0.365,0.331,0.166,0.205,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
151,5,1.082,0.374,0.377,0.186,0.145,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
152,5,0.967,0.311,0.357,0.164,0.135,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
153,5,1.019,0.345,0.332,0.188,0.154,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
154,5,0.9990000000000001,0.333,0.322,0.183,0.161,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
155,5,0.837,0.222,0.27,0.186,0.159,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
156,5,0.862,0.267,0.265,0.19,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
157,5,0.705,0.14,0.308,0.139,0.118,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-25,2010,Unit A
158,5,0.224,0.054,0.052,0.057,0.061,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2010-02-25,2010,Unit A
159,6,0.241,0.046,0.042,0.045,0.049,0.059,0.0,0.0,0.0,0.0,6I,1,0,2010-02-25,2010,Unit A
161,7,0.589,0.069,0.07,0.074,0.078,0.1,0.198,0.0,0.0,0.0,7I,1,0,2010-02-25,2010,Unit A
162,7,0.6220000000000001,0.083,0.079,0.087,0.085,0.094,0.194,0.0,0.0,0.0,7I,1,0,2010-02-25,2010,Unit A
163,7,0.482,0.07,0.07,0.061,0.075,0.09,0.116,0.0,0.0,0.0,7I,1,0,2010-02-25,2010,Unit A
164,3,0.374,0.211,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
165,3,0.33599999999999997,0.207,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
166,3,0.359,0.22,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
167,3,0.309,0.168,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
168,3,0.367,0.223,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
169,3,0.331,0.198,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
170,3,0.349,0.214,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
171,4,0.791,0.259,0.252,0.28,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
172,4,0.786,0.261,0.241,0.284,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
173,4,0.783,0.251,0.265,0.267,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
174,4,0.724,0.225,0.238,0.261,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
175,4,0.694,0.219,0.216,0.259,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
178,4,0.7369999999999999,0.207,0.248,0.282,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
179,4,0.752,0.244,0.244,0.264,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
180,4,0.775,0.257,0.253,0.265,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
181,4,0.7909999999999999,0.263,0.236,0.292,0.0,0.0,0.0,0.0,0.0,0.0,4R2,1,0,2010-02-28,2010,Unit A
183,5,0.573,0.192,0.171,0.11,0.1,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
184,5,0.777,0.234,0.241,0.169,0.133,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
185,5,0.793,0.28,0.223,0.161,0.129,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
186,5,0.7699999999999999,0.212,0.255,0.175,0.128,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
187,5,0.794,0.229,0.257,0.168,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
188,5,0.259,0.059,0.059,0.063,0.078,0.0,0.0,0.0,0.0,0.0,5R1,1,0,2010-02-28,2010,Unit A
189,5,0.5609999999999999,0.176,0.157,0.119,0.109,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
190,5,0.6980000000000001,0.221,0.192,0.157,0.128,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
195,3,0.368,0.241,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
196,3,0.33299999999999996,0.21,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
197,3,0.311,0.209,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
198,3,0.349,0.201,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
199,3,0.302,0.173,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
200,3,0.33199999999999996,0.189,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3D,1,0,2010-02-28,2010,Unit A
201,5,0.63,0.217,0.138,0.164,0.111,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
202,5,0.8240000000000001,0.231,0.263,0.187,0.143,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
203,5,0.8310000000000001,0.252,0.236,0.203,0.14,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
204,5,0.852,0.243,0.257,0.192,0.16,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
205,5,0.847,0.25,0.247,0.191,0.159,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
206,5,0.84,0.249,0.256,0.177,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
207,5,0.8800000000000001,0.261,0.254,0.169,0.196,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
208,5,0.852,0.253,0.26,0.181,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-02-28,2010,Unit A
211,4,0.753,0.385,0.198,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1+32,1,0,2010-03-17,2010,Unit A
212,4,0.754,0.353,0.221,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1+32,1,0,2010-03-17,2010,Unit A
213,5,1.123,0.399,0.371,0.195,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
214,5,0.818,0.236,0.264,0.188,0.13,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
215,5,1.086,0.381,0.366,0.18,0.159,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
216,5,1.074,0.321,0.412,0.19,0.151,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
217,5,1.0719999999999998,0.368,0.345,0.189,0.17,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
218,5,0.8699999999999999,0.245,0.25,0.203,0.172,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
219,5,0.8700000000000001,0.269,0.253,0.179,0.169,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
220,5,0.857,0.267,0.242,0.193,0.155,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
222,7,0.9780000000000001,0.22,0.183,0.126,0.113,0.18,0.156,0.0,0.0,0.0,7D,1,0,2010-03-17,2010,Unit A
223,5,0.59,0.214,0.166,0.116,0.094,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
224,5,0.6960000000000001,0.216,0.188,0.157,0.135,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
225,5,0.85,0.25,0.254,0.2,0.146,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
226,5,0.8890000000000001,0.268,0.268,0.195,0.158,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
227,5,0.897,0.285,0.248,0.201,0.163,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
228,5,1.141,0.407,0.379,0.18,0.175,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
229,5,1.127,0.398,0.378,0.181,0.17,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
230,5,0.865,0.257,0.262,0.181,0.165,0.0,0.0,0.0,0.0,0.0,1+1+3,1,0,2010-03-17,2010,Unit A
